,Bus_cost,Bus_travel_time,Bus_Comfort,Bus_CO2,metro_cost,metro_travel_time,metro_Comfort,metro_CO2,RH_cost,RH_travel_time,RH_Comfort,RH_CO2
2253,8,10,1,2,12,15,5,2,20,10,1,10
2582,8,30,3,10,12,20,3,5,20,10,3,5
2909,15,10,3,10,12,20,5,2,20,15,1,2
3106,15,30,5,5,12,15,1,2,15,25,5,5
2508,15,10,1,2,8,20,5,10,7,15,5,10
2934,15,30,1,2,5,10,3,5,20,15,3,5
2286,15,30,3,10,5,15,1,5,15,25,1,5
1430,3,20,3,10,5,15,3,2,7,15,5,10
283,8,10,3,10,5,20,1,10,7,10,1,10
1823,15,30,1,10,12,20,1,5,20,15,3,10
4569,8,10,1,2,12,10,3,5,15,25,5,10
4171,15,10,3,5,12,15,5,2,20,15,1,5
4008,3,30,3,10,5,10,1,10,20,25,3,5
1425,15,30,5,10,12,10,1,5,7,10,1,2
486,8,30,5,5,8,15,5,10,7,15,5,5
4800,8,10,5,5,5,10,3,10,20,15,1,10
2490,15,10,1,5,5,20,3,5,20,15,3,10
4531,8,30,1,10,8,15,3,2,20,10,5,10
4831,8,10,3,5,8,10,1,2,15,15,5,10
2669,15,20,3,5,5,15,5,10,7,25,1,10
4203,15,20,1,10,12,10,5,2,7,25,5,2
4710,3,30,5,10,8,10,3,10,7,25,5,10
366,15,30,5,10,8,15,3,2,20,25,5,5
776,15,30,1,5,5,15,3,2,15,15,1,2
678,8,30,3,5,8,15,3,10,7,15,1,2
2345,3,30,5,2,5,20,5,10,7,10,5,5
11,8,10,1,2,8,15,1,2,20,15,3,2
3157,15,20,1,10,5,10,3,2,7,25,3,10
811,3,10,1,5,5,15,5,10,15,25,3,5
4812,8,20,3,10,5,15,5,10,7,15,5,5
1088,3,30,3,5,8,20,1,5,7,10,5,2
797,3,30,5,10,5,15,5,5,7,25,5,10
3978,15,20,5,2,12,10,3,2,20,15,1,10
1984,8,20,3,10,5,15,1,5,7,25,3,5
2932,3,30,3,2,5,10,5,5,7,25,1,2
1734,8,20,1,2,8,10,3,10,7,15,1,5
1448,8,10,1,5,5,10,3,10,15,15,5,10
2882,3,20,5,2,12,15,1,2,7,25,5,10
2038,3,10,3,5,5,15,1,10,15,25,3,10
2837,15,20,5,10,5,10,1,2,15,15,5,2
3623,15,20,1,10,5,20,3,10,20,15,5,2
4677,8,30,5,2,12,10,1,2,20,15,5,5
4028,3,20,1,10,12,15,5,2,15,25,5,2
1827,8,20,5,5,5,15,5,2,20,10,3,5
1214,8,10,1,5,12,15,1,5,7,10,3,5
3360,3,20,3,5,5,20,3,5,7,25,3,5
2340,8,10,3,5,5,20,5,2,7,25,1,2
3589,8,20,5,10,8,15,3,10,15,15,1,2
4494,3,30,1,10,5,20,3,2,20,10,5,2
1672,15,20,3,10,5,10,5,5,15,15,5,10
2946,15,10,3,10,12,10,1,10,15,15,1,2
1619,8,30,1,2,8,10,3,5,7,25,3,2
234,15,30,3,10,5,10,1,10,20,25,3,5
233,8,20,1,10,5,15,5,2,20,15,3,10
3163,8,10,1,5,12,15,1,5,20,10,1,5
4508,3,10,3,2,8,20,1,2,15,15,5,5
3031,3,20,1,10,5,15,5,2,15,25,5,10
1533,8,20,3,10,8,10,5,10,15,10,5,2
206,3,20,5,10,8,20,1,5,15,15,1,2
493,15,30,3,2,8,20,5,5,7,10,5,5
293,15,30,5,2,12,10,1,2,20,10,5,10
2287,8,10,1,2,5,10,5,10,7,10,1,2
370,8,20,1,10,12,10,1,2,15,10,5,5
1519,15,10,1,10,5,15,3,5,7,15,5,2
421,15,30,1,2,5,15,3,5,7,15,5,5
1918,15,10,1,2,12,10,1,2,15,10,1,2
4753,8,30,1,2,8,20,1,10,15,15,3,2
1712,8,30,3,5,8,20,5,2,20,10,3,10
708,3,30,5,10,5,10,5,5,20,15,1,10
4188,15,10,1,5,8,15,1,10,7,15,5,5
3653,15,20,5,10,12,10,5,10,20,10,5,10
1868,3,30,5,10,5,20,3,2,15,10,5,5
1150,8,30,5,2,8,10,3,2,15,15,3,5
2072,3,30,3,10,12,20,1,10,15,25,5,5
4553,3,30,5,2,12,20,3,5,20,10,5,2
2240,8,10,3,10,12,15,3,5,20,10,5,5
3572,3,10,3,10,12,20,5,5,15,15,5,10
1896,15,30,5,10,5,10,3,5,15,25,1,10
1923,3,20,3,5,12,15,5,5,20,15,5,2
344,15,20,5,2,8,20,3,2,15,15,1,2
435,15,30,3,10,12,15,3,10,7,25,3,5
313,3,30,1,2,8,20,5,5,20,10,3,10
2476,3,10,3,5,8,15,5,5,7,10,1,10
3198,3,20,3,2,12,10,3,5,7,10,1,2
3391,8,30,5,5,12,10,1,10,15,10,3,2
1186,8,10,5,2,5,10,5,10,7,25,5,2
2002,15,30,1,10,12,20,5,2,20,10,3,10
338,8,10,5,2,5,15,5,2,15,15,3,10
2741,8,20,1,10,12,20,3,10,7,15,5,2
861,8,30,1,2,12,10,3,5,20,25,1,10
2032,15,10,5,5,8,20,3,5,7,15,1,10
2480,8,10,3,2,5,15,5,10,7,15,3,2
1175,3,30,1,2,5,15,5,2,7,25,3,10
2365,15,10,1,5,5,15,5,10,7,25,5,10
2733,15,20,1,10,12,15,5,5,15,10,1,10
2137,3,30,5,5,12,15,1,2,7,10,1,10
2686,8,20,1,10,5,20,3,2,20,15,5,10
1891,15,20,5,10,5,15,5,10,20,15,1,5
911,3,20,1,10,8,20,3,10,20,15,3,2
753,15,20,3,5,12,20,5,2,20,10,1,10
2807,15,30,1,2,5,15,1,5,15,15,1,5
1454,3,30,5,5,8,10,5,2,7,25,5,2
318,8,10,3,10,8,15,5,2,7,15,3,10
3405,8,10,3,2,5,20,3,10,7,25,1,10
2992,8,10,1,10,5,20,1,5,15,10,3,10
1308,3,30,5,10,5,15,5,5,15,10,5,10
2320,8,20,3,5,5,15,1,2,7,25,3,2
2571,15,30,3,5,8,15,3,2,7,10,3,10
1350,8,20,5,2,8,15,1,10,20,10,1,5
1156,3,30,5,10,12,20,3,5,7,25,1,2
2889,3,20,1,10,5,20,5,2,7,10,5,2
1226,3,10,3,10,8,20,1,2,20,10,1,2
961,15,30,3,2,12,15,5,10,15,25,3,10
2398,8,30,5,10,8,20,3,2,15,25,3,5
4079,8,10,1,10,12,20,1,10,20,25,3,10
2842,3,10,5,5,12,10,5,2,7,25,1,10
182,3,30,5,10,5,20,1,5,20,25,3,5
4993,8,20,3,5,8,20,3,10,7,10,5,5
4382,15,10,3,10,8,20,5,2,7,25,5,5
2327,8,30,3,2,8,20,5,10,20,15,5,5
430,3,30,5,2,8,15,5,5,7,10,3,5
4720,8,10,5,10,8,20,3,5,15,10,3,2
131,3,10,1,10,5,20,3,5,20,25,5,5
4452,3,10,3,10,5,15,3,2,7,25,1,2
184,15,10,3,5,5,15,5,5,20,15,3,5
4331,3,30,3,5,12,10,5,5,15,25,3,5
3261,3,30,5,2,8,10,5,2,7,15,5,5
431,3,10,5,2,12,20,5,5,15,15,1,5
3567,3,10,1,10,5,10,1,2,7,25,1,2
3761,3,10,1,10,12,15,5,2,20,25,1,10
601,15,10,1,5,5,15,3,2,15,15,1,2
4647,3,10,3,10,8,20,3,10,20,15,5,5
991,3,20,5,2,12,10,3,5,20,25,3,2
4799,15,10,1,2,5,20,5,10,20,10,3,5
1721,3,20,1,2,5,10,5,2,7,10,5,10
3563,8,10,1,2,12,20,1,10,15,15,3,2
2104,8,10,3,5,12,20,1,10,7,10,1,10
4678,15,10,1,2,12,20,5,2,7,10,1,10
866,3,20,5,10,5,20,3,5,20,15,5,5
774,3,30,1,2,12,20,1,2,20,25,3,10
3250,3,10,5,10,8,15,5,10,7,15,5,5
59,8,10,3,10,5,15,5,2,7,15,3,10
3573,15,10,1,5,8,10,1,2,7,15,3,2
3456,15,30,5,2,8,10,1,5,7,10,3,10
3087,15,30,1,5,12,10,1,2,7,15,5,2
4945,8,30,5,5,8,10,5,2,20,15,5,10
3018,8,20,5,5,5,15,3,5,15,10,5,5
251,3,20,5,2,12,15,5,5,7,25,1,10
4160,8,30,3,5,5,15,3,5,20,10,3,2
1323,15,10,1,10,5,10,3,5,20,25,5,2
4528,15,20,5,10,5,20,1,10,7,15,1,2
944,3,10,1,10,5,10,3,10,15,25,5,10
2844,8,20,5,5,5,10,5,2,15,25,1,2
3446,3,20,1,2,8,15,5,5,15,15,3,2
760,15,30,5,10,12,15,1,2,20,15,5,2
2362,8,10,5,2,12,10,5,2,7,15,5,5
2481,15,30,5,10,8,20,1,2,20,10,1,10
3356,3,20,1,10,12,20,3,2,15,15,3,2
341,15,20,5,10,8,15,5,10,7,10,1,10
3208,15,20,1,5,5,15,5,2,15,25,5,2
1096,15,10,1,10,5,20,5,10,15,25,3,10
3683,8,10,5,5,5,20,1,5,20,25,3,5
2188,8,30,1,10,5,10,5,5,20,25,5,2
1341,15,10,3,2,12,15,1,10,15,10,1,5
2548,8,20,1,10,12,20,1,2,15,15,5,10
2954,3,30,5,5,5,10,3,10,20,10,5,5
111,3,30,3,5,8,20,5,5,20,25,1,5
4511,15,10,5,5,12,20,5,2,20,10,5,10
3618,3,10,5,10,8,15,5,2,15,25,5,10
4988,3,30,5,5,8,20,1,10,7,25,3,2
4006,15,20,3,10,8,15,5,10,15,10,3,10
58,15,10,1,2,8,10,1,10,15,15,1,10
4764,15,10,3,5,8,10,5,2,7,15,1,2
3311,8,30,3,5,12,15,5,2,20,15,1,5
385,15,30,1,5,8,15,1,2,20,10,1,5
3775,15,20,1,2,5,10,5,10,7,15,3,10
1917,3,20,3,5,12,10,5,2,7,15,1,10
357,15,20,1,10,12,20,1,10,7,25,1,10
1969,15,30,3,5,12,10,3,5,15,15,1,10
3612,3,20,3,5,5,20,1,5,20,15,5,2
602,8,30,3,10,5,10,5,10,15,15,5,10
1581,15,30,5,5,5,10,5,10,7,25,3,10
3202,8,20,1,10,5,20,5,2,7,10,5,5
2620,3,10,5,5,8,15,3,5,20,10,5,10
3293,3,30,1,5,8,10,1,10,15,10,3,2
2056,8,20,3,2,5,20,3,2,7,10,3,5
3805,15,20,5,5,8,15,3,2,15,15,3,10
538,15,10,1,2,8,20,5,5,20,10,3,2
2567,3,20,3,2,8,10,1,2,15,10,1,5
3035,8,20,3,10,5,15,5,10,20,25,3,2
1317,15,20,3,2,8,20,1,5,20,10,5,10
3831,8,20,1,2,8,20,5,2,7,25,3,10
4913,3,10,1,2,5,15,1,5,20,15,5,5
2458,15,20,5,5,5,15,3,10,7,25,3,10
1361,8,30,5,5,5,10,3,10,7,25,3,5
4398,8,10,3,2,12,10,5,2,7,15,5,2
250,15,30,3,10,5,15,1,5,7,25,5,2
658,15,30,3,5,12,15,3,5,7,15,5,2
4883,3,10,3,2,8,10,1,5,15,25,5,2
2336,3,10,3,2,12,15,1,10,15,15,1,10
3052,3,30,1,5,8,20,3,5,20,10,1,2
1819,15,20,5,2,12,15,1,5,15,10,3,2
3168,8,10,5,5,12,10,3,5,15,10,5,10
883,8,30,5,10,8,20,3,5,15,15,3,10
847,3,20,1,10,12,15,1,2,7,25,5,10
3155,3,30,5,5,8,10,3,2,20,25,3,2
761,3,30,1,10,12,20,5,5,20,25,3,10
830,8,30,1,10,5,20,5,5,7,15,5,5
2625,3,30,1,2,8,20,3,5,20,25,3,2
4611,15,30,3,10,5,15,1,5,20,25,1,10
4690,3,30,1,2,12,10,3,10,7,25,5,2
2614,3,10,1,2,5,20,3,10,15,25,5,2
3600,15,30,3,10,5,20,3,10,15,15,3,10
348,15,10,5,5,12,20,1,10,15,15,1,2
2146,8,20,3,10,5,20,1,5,20,25,5,2
4526,8,10,1,2,5,10,5,2,7,25,3,2
306,8,20,1,2,5,20,5,10,15,25,3,2
4609,8,20,5,10,5,20,1,10,15,25,1,10
2093,3,20,3,2,8,10,3,10,20,10,3,2
4357,8,10,3,10,5,10,3,5,15,15,1,5
2298,15,30,1,5,12,10,5,5,20,10,5,5
611,15,10,3,10,8,20,5,2,15,25,5,5
908,15,10,1,5,8,20,5,5,20,25,1,5
3200,8,10,5,5,12,10,3,5,20,15,3,2
3797,8,10,1,10,8,15,1,5,7,25,3,2
4119,8,10,1,5,8,15,3,2,7,15,3,10
4465,3,30,3,5,5,15,3,2,7,15,5,10
1283,15,10,3,10,12,10,1,10,7,15,5,10
482,15,10,3,2,5,20,3,2,20,15,3,5
3192,15,20,1,5,12,15,1,5,7,25,3,2
912,15,20,1,2,8,20,1,5,15,25,5,5
4290,8,30,1,10,8,10,3,10,15,10,5,2
4374,3,10,5,10,8,15,5,10,20,10,3,5
2024,8,20,3,5,12,10,1,2,20,25,3,10
85,3,10,3,2,5,15,5,5,20,15,5,5
655,3,10,5,10,5,20,5,5,7,10,1,5
834,8,10,5,2,12,10,1,2,15,25,3,10
3780,3,20,5,10,5,10,5,2,7,25,3,5
3813,15,20,3,2,8,20,3,5,7,10,5,5
1139,3,20,1,10,12,20,1,2,20,15,5,5
994,15,30,1,5,12,20,5,10,20,10,3,10
1948,8,30,3,10,5,20,1,10,20,15,3,2
793,15,30,5,5,8,20,1,5,20,25,5,2
3409,3,30,3,2,5,20,1,5,7,10,3,2
3543,8,30,1,10,8,15,5,2,15,10,1,5
4071,3,30,3,2,5,15,3,10,15,15,5,5
1564,15,10,5,5,5,20,1,2,7,15,3,2
2155,8,10,3,10,8,10,5,5,15,15,1,10
662,15,30,5,2,12,10,3,5,7,25,5,2
345,15,10,1,10,8,20,5,5,20,15,3,2
2019,3,30,3,5,5,15,5,10,7,25,3,2
1773,8,20,1,10,5,15,5,5,20,15,5,2
4869,8,30,5,10,12,15,1,10,20,10,1,5
2382,3,10,5,2,5,15,5,2,7,10,1,2
4706,8,10,3,2,5,20,3,5,7,25,5,2
1422,8,10,3,2,12,20,5,5,15,25,5,10
3617,8,10,5,2,5,15,5,2,7,10,5,2
669,15,30,3,2,12,10,5,2,15,15,5,2
843,15,10,5,10,5,10,1,10,20,25,5,5
3772,8,20,3,10,12,10,5,2,15,15,5,2
1209,8,20,5,2,5,10,3,2,20,10,3,10
2569,8,20,3,2,8,10,3,5,15,10,5,2
1580,15,30,5,10,8,10,5,10,20,25,3,10
1841,8,30,3,5,12,15,5,2,7,25,3,10
2271,15,10,3,10,8,20,5,2,20,25,1,5
1974,8,30,1,5,12,20,5,2,7,25,5,10
2767,3,30,3,10,12,10,1,10,15,15,5,10
4363,3,20,1,2,8,10,5,2,7,10,5,2
4449,3,30,5,5,5,10,5,10,15,15,1,5
4047,15,20,5,5,5,15,5,10,15,25,1,2
3880,3,10,3,10,8,15,5,2,20,10,3,10
3453,8,20,1,10,5,10,5,10,20,15,3,10
2908,3,20,5,2,5,15,5,2,20,10,5,5
4340,15,20,3,5,12,20,1,2,7,10,1,10
3281,3,30,3,2,8,10,1,5,20,10,1,10
917,3,30,1,10,8,20,5,2,20,10,5,10
2347,8,10,5,2,5,15,3,10,20,15,1,5
715,15,30,3,5,5,10,5,2,20,15,3,10
2793,15,10,3,10,5,10,1,10,20,15,5,10
3982,15,20,1,5,12,15,1,10,20,15,3,5
3580,8,30,1,2,5,15,5,2,20,15,1,5
2245,15,10,3,10,5,20,3,2,15,25,1,5
712,3,10,5,10,8,10,5,5,15,15,5,2
2594,3,20,5,5,12,15,1,10,7,15,5,10
2666,15,10,1,10,12,20,5,2,20,25,1,2
254,15,20,5,2,8,20,3,10,20,25,3,2
149,8,10,3,2,8,20,1,10,7,10,3,5
851,15,20,5,2,5,10,1,5,7,25,3,2
2829,8,30,1,5,8,20,3,10,15,15,1,2
240,15,20,1,5,8,15,1,5,15,25,1,2
4251,8,30,3,2,5,15,1,2,7,10,1,2
979,15,20,1,5,12,15,1,10,7,10,3,2
640,8,20,3,5,12,15,5,2,20,15,5,5
2537,15,30,1,5,12,15,1,2,15,25,1,10
4626,8,10,3,2,12,15,5,5,20,10,1,5
860,3,10,3,2,12,10,3,10,20,10,1,5
637,15,30,5,10,5,10,3,10,20,10,3,10
634,8,20,3,2,8,15,1,10,15,15,3,10
168,15,20,1,2,5,10,3,2,15,25,3,5
1445,3,10,3,5,5,15,5,5,20,10,5,10
1344,3,10,5,10,8,20,1,2,15,25,5,10
1369,15,10,3,10,8,10,5,2,7,10,1,2
1805,15,30,3,10,8,15,1,10,15,10,3,5
3988,15,10,3,2,5,20,3,2,20,15,5,2
2830,15,20,1,2,12,15,3,5,7,25,1,2
4952,8,10,3,10,5,10,3,5,15,25,3,5
1708,8,30,1,5,12,10,1,2,15,25,5,10
2285,15,30,5,2,12,10,3,2,20,25,1,2
3509,3,10,5,10,5,10,1,5,7,10,1,10
2494,3,20,3,2,12,15,3,2,7,10,5,2
3853,8,20,1,2,12,10,5,2,20,25,3,10
4617,8,30,1,2,8,15,5,10,15,10,3,10
226,8,30,1,2,5,10,3,10,15,15,3,2
4402,3,30,3,2,12,15,3,10,15,25,1,5
3479,8,30,3,10,5,10,3,5,15,10,5,10
4192,8,30,3,10,8,20,1,2,15,10,3,10
2525,15,10,5,5,8,10,5,5,20,10,5,2
3424,15,10,3,2,8,10,5,5,15,10,5,2
2968,15,10,1,2,5,10,1,5,7,15,5,10
3427,15,20,3,10,5,15,1,5,20,10,3,2
913,8,20,5,5,5,10,1,5,20,10,3,10
2692,8,30,5,5,8,20,3,10,20,25,5,2
4291,3,10,5,5,8,20,3,10,20,15,5,2
129,8,30,1,5,12,10,1,2,7,25,3,5
3709,15,30,1,10,12,10,5,2,20,10,1,2
404,15,10,3,5,5,20,5,10,7,10,1,5
3770,8,10,5,5,5,15,3,5,15,25,3,10
4833,3,20,3,2,12,10,5,5,7,25,1,10
4399,3,10,5,5,12,10,1,5,20,10,1,10
4974,8,30,3,2,5,10,3,5,20,25,1,5
3902,3,30,1,2,8,15,1,2,20,15,3,10
31,15,20,1,10,8,10,5,10,20,25,1,5
4765,15,10,5,5,5,15,5,2,15,10,5,10
782,8,10,5,2,12,15,5,10,20,25,3,5
3611,8,30,5,2,8,15,1,10,20,10,5,10
2634,8,10,3,10,8,15,5,2,20,15,3,5
2404,15,20,1,5,12,10,1,2,7,10,3,10
22,8,10,3,10,8,10,1,2,15,10,3,2
211,8,10,5,5,5,15,5,5,20,25,3,2
3701,3,20,1,5,5,10,3,10,15,25,1,10
1187,8,30,3,5,5,10,3,10,7,15,3,10
591,3,30,3,10,12,15,5,5,15,15,3,10
4233,3,10,5,2,12,20,5,2,7,15,1,5
4034,15,10,3,10,12,15,1,10,7,25,5,5
1572,8,20,1,10,12,20,1,2,15,10,1,2
4050,8,10,3,2,12,20,3,5,7,15,3,5
3484,3,20,5,2,8,20,5,10,20,15,1,2
3872,3,10,5,2,12,20,3,10,15,15,3,10
1329,15,10,3,2,12,15,3,5,7,10,3,5
3593,3,20,1,2,5,20,3,5,20,25,3,5
488,3,20,1,5,12,10,1,2,15,25,3,5
2863,3,20,1,5,12,10,5,2,15,25,3,2
3173,15,20,1,10,5,10,1,5,20,25,3,5
260,15,30,5,2,5,10,3,2,7,25,1,2
2797,3,30,1,2,12,15,5,2,7,10,1,2
1745,15,20,1,2,12,20,5,10,15,10,3,2
3769,8,20,5,2,8,20,5,10,15,15,3,10
1089,3,10,5,10,5,20,1,5,20,15,5,5
3400,3,10,5,5,12,20,3,5,7,15,3,5
1362,15,30,5,5,12,10,5,10,15,25,1,5
305,15,30,5,2,12,20,5,5,20,25,5,5
2794,3,20,5,5,5,15,5,5,15,15,3,5
2465,15,20,3,10,5,15,3,10,7,15,1,2
4759,15,30,1,2,5,20,5,5,20,25,5,10
496,8,20,1,5,8,20,1,10,20,15,3,5
3010,8,20,3,5,8,10,5,2,7,25,5,2
2912,3,30,3,2,12,15,5,2,20,10,3,10
2852,15,10,1,10,12,10,5,5,15,25,5,5
3854,3,30,3,5,12,20,3,5,7,15,5,10
3025,15,30,3,10,8,10,1,2,20,25,5,2
224,15,20,3,2,5,10,1,10,20,15,1,10
2213,8,20,5,5,5,15,5,5,20,25,1,2
3927,8,20,3,5,5,10,3,5,15,15,1,2
4057,3,20,1,5,5,10,1,2,20,25,1,2
1913,3,30,3,10,8,10,1,2,7,15,5,10
1651,3,20,1,10,8,15,5,2,15,15,3,2
1274,8,10,1,2,5,10,1,2,15,25,5,10
572,8,20,3,5,8,20,5,2,15,10,3,2
1302,8,20,5,2,8,15,3,2,15,25,1,10
3381,15,10,3,5,5,10,5,2,20,15,1,2
3760,3,30,1,2,12,10,3,5,15,10,5,2
1612,8,30,1,2,8,15,5,5,15,15,3,5
2619,15,20,5,5,12,15,3,2,7,25,3,10
3995,3,20,5,5,12,20,5,10,15,10,1,2
1463,3,10,1,2,12,10,3,2,15,15,5,2
3809,15,30,3,2,12,15,5,2,20,15,1,10
1161,8,10,3,10,5,10,5,10,20,10,5,2
1739,15,20,5,10,5,20,3,2,15,15,3,5
1871,3,20,3,2,8,20,3,2,15,15,3,5
2970,15,30,5,2,5,10,3,10,15,25,5,10
2554,3,10,3,5,5,20,5,5,15,25,5,2
2015,3,30,1,5,5,10,3,2,20,25,5,10
1197,15,30,3,5,12,15,5,2,7,25,3,2
3151,8,10,3,10,5,10,5,5,7,25,1,2
3402,8,10,1,5,12,20,5,10,15,15,3,5
2757,15,20,3,2,8,10,1,10,15,25,5,5
1346,15,20,5,5,8,20,1,2,7,10,5,5
173,15,10,5,5,5,10,5,10,20,15,3,2
2367,3,20,3,5,12,15,5,5,7,25,3,5
409,3,30,5,5,8,15,5,2,7,25,5,2
2261,8,20,3,2,12,20,1,2,7,15,5,2
1182,8,10,5,10,8,10,1,10,20,15,5,5
1786,8,30,5,10,12,15,1,2,15,10,5,2
641,3,20,5,5,8,20,5,5,20,15,3,10
1966,8,10,5,10,12,10,5,10,20,15,1,5
3318,15,10,1,2,8,20,5,2,15,25,3,5
3237,8,10,1,2,12,15,1,5,15,15,5,2
3605,8,20,3,2,5,10,3,2,7,25,1,5
3730,15,10,5,10,8,15,5,10,20,10,5,2
3013,8,30,3,10,8,20,1,2,20,25,3,2
262,15,10,1,2,8,15,5,2,20,10,3,2
2220,15,20,5,10,12,15,1,10,20,10,3,10
3679,15,20,5,2,12,10,1,5,7,25,5,2
3711,3,30,5,2,5,20,5,10,20,25,5,2
2073,3,10,5,2,12,10,1,2,7,10,5,2
2953,15,20,1,2,5,15,3,5,20,15,1,5
514,15,10,5,2,12,20,5,10,20,15,5,10
3320,15,30,1,5,5,20,3,5,7,10,1,10
1076,15,10,5,5,8,10,5,10,15,15,1,10
3355,8,10,3,5,12,15,5,10,20,15,3,10
3976,3,20,5,10,5,15,3,2,7,15,1,10
4782,3,10,5,2,8,20,5,5,20,25,3,10
4265,8,20,1,2,5,15,1,10,15,10,5,2
1593,8,20,5,10,12,10,1,10,7,15,5,10
2381,15,20,5,10,12,20,5,5,20,10,5,10
4128,8,10,5,5,5,15,3,10,20,10,3,2
256,15,10,1,2,5,20,5,10,7,25,1,2
1469,3,30,5,5,8,20,5,10,15,15,3,2
4328,15,20,1,2,5,20,1,2,20,25,1,10
2180,15,20,1,2,5,10,5,2,15,25,5,2
3099,3,20,1,2,12,10,5,2,15,15,3,10
3462,3,20,5,5,5,15,3,2,7,10,3,2
