,CS,Bus_cost,Bus_travel_time,Bus_Comfort,Bus_CO2,Metro_cost,Metro_travel_time,Metro_Comfort,Metro_CO2,RH_cost,RH_travel_time,RH_Comfort,RH_CO2,Plane_cost,Plane_travel_time,Plane_Comfort,Plane_CO2
155,156,3,10,1,5,8,10,3,10,15,10,3,2,15,20,1,5
4704,4705,8,20,3,2,12,15,5,10,15,25,5,10,15,20,3,2
1728,1729,8,30,5,10,5,10,1,2,7,10,1,5,15,10,3,10
6397,6398,3,30,5,10,12,10,5,10,15,10,3,2,20,10,5,2
3916,3917,3,30,1,10,8,10,5,5,20,10,3,10,7,20,5,5
4996,4997,8,20,1,2,8,15,3,2,15,25,3,5,7,10,5,5
7175,7176,3,10,1,10,12,10,1,5,15,25,3,2,7,20,5,5
2868,2869,3,10,5,10,5,10,3,5,20,10,3,5,7,30,5,2
6209,6210,8,20,3,5,5,20,3,10,20,25,3,5,15,10,5,10
1398,1399,8,20,5,10,8,20,5,10,20,15,5,10,7,10,1,2
5097,5098,3,30,3,2,5,15,3,5,7,10,5,5,7,20,1,5
4259,4260,8,20,5,5,12,15,1,5,7,25,5,2,7,30,5,10
5740,5741,3,30,3,10,12,15,1,5,7,25,5,5,15,30,3,2
6354,6355,3,30,1,2,5,15,1,10,20,10,5,2,15,30,3,2
6559,6560,15,10,1,10,5,20,1,10,7,10,5,10,7,20,1,10
1024,1025,3,20,3,2,8,15,5,2,15,15,5,2,15,30,3,2
1374,1375,8,30,1,5,5,10,3,2,7,15,1,5,7,30,1,2
2518,2519,3,30,1,2,5,10,1,5,20,25,5,10,15,20,5,5
296,297,15,10,3,2,12,10,5,5,20,15,3,10,20,30,3,2
4633,4634,15,20,1,2,5,15,5,10,20,15,5,5,7,10,3,2
2332,2333,8,30,5,2,5,10,1,10,15,15,5,2,20,20,5,5
6146,6147,8,20,1,2,12,15,5,10,15,25,1,5,20,30,3,5
1110,1111,8,20,5,5,12,20,1,2,7,15,3,2,7,20,3,10
2312,2313,15,10,3,10,12,10,3,2,15,15,1,10,20,10,5,5
6999,7000,15,30,1,2,5,10,1,10,20,10,1,10,7,10,5,10
7225,7226,8,30,5,10,5,10,1,5,20,10,5,2,7,20,3,2
6270,6271,15,30,3,10,8,10,5,5,20,25,3,10,15,20,3,5
6392,6393,3,30,1,2,8,15,5,10,20,10,1,5,7,20,3,2
2493,2494,3,30,3,10,12,10,1,2,7,10,1,2,7,10,3,5
2944,2945,3,20,3,2,12,15,5,10,20,25,1,5,20,20,5,2
493,494,8,30,5,5,12,20,1,5,20,10,5,2,7,20,3,10
1096,1097,15,20,3,10,12,15,1,5,20,25,5,10,15,10,3,5
2477,2478,15,10,5,5,5,10,5,2,20,25,1,10,20,20,1,2
5058,5059,8,20,1,2,8,20,5,10,20,25,5,2,7,20,1,5
3521,3522,15,20,5,2,8,20,1,5,15,15,3,5,20,20,1,5
6106,6107,15,30,1,5,5,15,3,10,20,10,1,2,15,10,1,5
6732,6733,8,20,3,2,12,20,1,10,15,10,5,5,15,20,1,2
3775,3776,15,20,3,5,8,10,1,2,15,15,3,5,20,10,3,2
151,152,3,30,3,5,5,15,5,10,15,25,3,2,7,30,1,10
3873,3874,8,10,3,2,8,15,1,5,20,10,5,10,15,10,5,2
1874,1875,3,30,1,2,8,10,3,10,20,25,5,5,15,30,5,5
4011,4012,3,30,3,2,8,20,3,5,15,15,1,10,7,10,1,2
558,559,3,30,5,5,8,20,5,2,7,10,3,5,7,20,1,2
541,542,15,10,5,2,5,15,5,2,20,25,5,5,7,30,1,5
1738,1739,8,30,5,2,5,15,1,5,7,25,3,10,15,10,3,10
2516,2517,8,20,3,10,5,15,3,5,7,10,1,10,15,20,3,2
7322,7323,15,30,3,5,8,15,3,2,15,15,1,2,20,20,1,2
4763,4764,15,10,5,2,8,15,3,2,20,10,5,5,20,30,1,5
4992,4993,8,30,5,5,8,10,5,10,15,10,3,5,15,10,3,10
1870,1871,8,10,3,5,8,10,3,2,15,10,3,5,15,20,1,10
2232,2233,3,20,3,5,12,15,5,5,7,25,3,10,20,20,3,5
1134,1135,3,10,5,5,12,20,5,5,15,25,5,5,15,30,5,5
2192,2193,3,10,5,2,5,10,5,5,15,15,5,5,15,10,3,10
1081,1082,8,30,1,10,8,15,3,5,7,10,1,5,15,10,1,10
7545,7546,8,10,3,2,8,20,3,10,15,10,1,2,7,30,1,10
1213,1214,15,30,5,5,5,10,5,2,20,10,1,2,7,30,3,2
2449,2450,15,30,1,10,12,15,3,5,20,15,3,10,7,20,3,2
5209,5210,3,10,5,10,8,10,1,2,20,10,3,2,7,10,5,2
4979,4980,3,20,3,5,8,10,1,2,20,15,1,5,15,10,5,5
6489,6490,3,10,5,2,5,10,3,5,7,15,3,2,20,20,1,10
7408,7409,15,10,3,10,12,20,5,2,20,15,1,5,7,30,5,2
2780,2781,3,30,1,10,12,15,3,2,7,25,5,5,7,10,3,10
3617,3618,8,30,3,5,5,20,5,2,20,25,5,10,7,30,5,5
4565,4566,15,30,1,5,5,15,1,2,20,10,1,5,15,30,5,2
1789,1790,3,30,1,5,5,20,3,2,7,25,1,2,7,20,5,5
4950,4951,15,10,5,5,8,15,3,2,7,10,3,5,20,20,1,5
1674,1675,15,10,3,10,5,20,1,10,15,15,5,5,15,20,1,2
5503,5504,3,20,5,10,12,10,1,10,7,15,1,2,20,20,5,5
756,757,8,10,3,10,12,10,3,5,7,15,1,10,20,10,1,2
447,448,3,20,3,5,5,20,3,2,7,25,5,5,20,20,1,2
6679,6680,8,20,1,2,8,10,1,10,7,15,5,2,15,10,1,2
2195,2196,8,30,1,5,5,10,3,5,7,10,3,10,7,30,3,10
4206,4207,3,10,1,10,5,15,1,10,15,10,1,10,20,10,1,5
2952,2953,15,20,1,2,8,20,1,2,20,25,3,5,7,10,3,2
1997,1998,15,30,5,5,8,10,1,10,20,25,5,5,15,20,3,2
6922,6923,15,10,1,2,8,10,5,2,20,25,5,2,15,20,3,2
6064,6065,3,30,3,5,5,20,3,2,7,25,1,10,20,20,5,2
5122,5123,15,10,5,2,12,10,1,2,15,25,3,5,20,10,1,5
2607,2608,8,20,1,2,8,15,5,5,20,10,1,2,20,30,5,2
1330,1331,15,20,3,2,8,10,1,2,20,15,3,5,20,10,1,10
466,467,8,30,1,2,8,20,5,10,7,25,5,5,20,20,3,10
4880,4881,15,10,5,5,8,20,5,5,7,10,1,10,15,30,3,2
705,706,15,10,3,5,8,20,5,10,20,25,5,5,7,20,3,5
1458,1459,3,10,1,10,5,20,1,10,15,10,1,10,20,10,1,2
862,863,8,10,1,2,5,15,1,10,20,25,5,2,20,30,5,5
7233,7234,8,30,1,2,5,20,1,5,20,15,1,10,15,30,1,2
254,255,8,10,3,5,5,10,1,5,7,15,1,5,20,10,5,10
1166,1167,8,30,1,2,12,20,1,2,15,10,5,2,20,20,5,2
2479,2480,3,30,1,5,8,20,3,5,7,25,5,5,20,20,1,2
6653,6654,8,10,5,10,5,15,3,2,7,15,5,2,7,20,1,10
532,533,15,30,5,5,12,10,1,5,7,10,1,10,15,10,5,10
3333,3334,15,10,5,10,5,20,3,5,15,15,3,5,20,30,5,5
7615,7616,3,30,5,10,12,15,3,5,7,10,5,5,7,10,5,5
1075,1076,15,20,5,5,5,20,5,5,15,15,3,2,20,20,5,10
3165,3166,3,10,3,2,5,20,3,10,7,15,3,2,15,10,3,5
3091,3092,15,30,1,10,8,20,1,2,20,10,3,10,15,30,5,10
5874,5875,8,10,3,10,5,10,1,10,7,15,5,2,20,30,1,5
2003,2004,15,20,3,10,12,15,1,2,20,15,5,2,20,20,5,10
5308,5309,8,20,5,2,12,20,5,2,7,25,1,5,15,20,3,2
534,535,3,10,1,2,12,10,5,10,15,25,3,10,15,30,3,5
2602,2603,15,20,1,10,12,10,5,10,15,10,5,2,15,30,1,10
5048,5049,3,10,5,2,5,15,3,10,7,10,1,5,20,10,3,10
4275,4276,8,10,5,2,12,15,3,5,7,15,1,5,15,30,3,2
810,811,8,20,3,10,12,20,5,10,7,25,5,2,15,10,5,5
4369,4370,8,10,1,2,12,10,1,2,20,25,5,2,20,20,3,10
2983,2984,8,30,5,10,8,20,5,5,7,10,5,5,15,30,1,2
3187,3188,8,10,1,2,12,10,5,5,15,10,5,10,15,30,3,2
1715,1716,3,20,3,5,8,15,1,10,7,15,3,10,7,10,1,2
611,612,3,20,5,5,5,15,1,2,15,25,5,10,7,20,3,5
3314,3315,8,10,1,5,12,10,5,2,20,10,1,10,15,30,1,10
2618,2619,8,30,1,10,8,20,1,10,15,15,1,10,20,20,3,5
5574,5575,15,10,3,5,12,15,1,10,20,10,5,5,20,10,1,10
3422,3423,15,20,1,2,5,20,3,10,15,10,1,10,7,10,5,5
291,292,8,30,3,2,8,15,5,5,20,15,1,10,20,10,1,5
4564,4565,3,20,3,10,5,15,1,10,15,25,5,10,20,20,3,10
4134,4135,3,20,3,10,5,10,5,5,15,25,3,10,15,10,3,10
5627,5628,15,20,3,5,8,15,3,10,15,25,1,5,7,10,1,10
4965,4966,8,30,5,5,8,20,5,10,7,10,3,10,7,30,1,2
2495,2496,15,20,3,2,8,10,1,2,15,25,5,2,7,20,5,10
3038,3039,3,20,5,5,12,15,1,5,15,25,5,10,15,30,3,5
4803,4804,8,10,3,10,12,20,3,2,7,15,1,5,20,30,3,10
6715,6716,8,20,3,2,12,20,5,2,7,15,5,5,20,10,1,5
512,513,8,10,3,2,12,10,1,5,15,15,5,10,7,10,1,2
5870,5871,3,30,1,5,5,15,3,2,7,15,3,10,7,30,5,10
3347,3348,3,30,1,2,8,10,5,5,15,15,3,2,20,20,5,10
4744,4745,8,20,1,10,12,15,1,10,20,10,1,5,15,30,3,10
4381,4382,15,10,1,10,5,15,1,5,7,10,1,10,15,30,1,10
3929,3930,3,30,1,10,12,10,3,5,15,25,1,2,7,30,3,10
1172,1173,8,20,5,5,5,10,1,10,20,10,5,5,7,20,5,5
3464,3465,15,30,1,2,8,20,5,2,15,15,5,10,7,20,5,5
5317,5318,15,10,5,5,12,10,1,2,7,25,1,10,7,10,3,5
6250,6251,15,20,3,5,12,15,5,2,20,10,5,5,20,30,5,5
1486,1487,3,10,3,2,8,10,1,2,15,15,5,2,15,30,5,2
197,198,3,30,5,2,5,20,1,5,15,25,5,2,15,30,3,2
5830,5831,8,20,3,10,8,20,3,5,20,10,5,5,7,20,3,10
4599,4600,8,20,3,2,8,10,3,10,15,15,3,5,7,30,1,2
4815,4816,8,30,3,2,8,20,5,5,15,10,5,2,7,10,5,2
2747,2748,3,30,5,2,8,10,3,5,7,25,1,5,7,10,3,10
5328,5329,15,10,3,5,8,10,5,10,15,15,5,10,20,20,5,10
6101,6102,15,10,5,2,12,20,1,5,20,10,3,5,7,10,1,2
242,243,8,30,5,2,8,20,1,10,7,25,3,5,20,20,5,2
582,583,3,30,3,5,5,10,5,5,20,15,5,10,20,30,3,5
221,222,3,10,5,2,8,10,3,5,7,25,3,2,20,10,5,2
6030,6031,3,30,3,2,5,20,1,5,15,15,3,5,15,30,5,2
7215,7216,8,20,3,10,12,10,3,2,20,15,3,5,7,10,5,5
3935,3936,3,20,5,10,8,20,3,10,15,10,5,10,7,20,5,10
4459,4460,15,30,1,10,5,10,3,5,7,10,5,10,7,20,1,10
1062,1063,3,20,5,2,8,15,1,2,15,10,5,5,7,30,5,5
2151,2152,15,30,3,10,8,10,1,5,7,10,3,5,7,30,5,2
4537,4538,8,30,5,5,8,10,3,2,7,15,3,5,20,20,1,2
7311,7312,15,20,5,2,5,15,3,2,20,10,5,10,7,20,5,2
1948,1949,15,10,5,2,12,20,5,10,15,15,5,10,15,30,3,5
4735,4736,3,20,1,10,12,15,1,10,7,25,1,2,20,20,3,5
4034,4035,15,20,5,10,5,20,1,5,7,25,5,5,15,10,5,2
1209,1210,3,30,3,2,8,15,3,5,20,15,3,5,15,30,5,10
4031,4032,3,20,3,10,5,15,5,10,15,15,3,2,15,20,5,2
3758,3759,3,10,3,2,12,15,3,2,7,25,1,10,15,20,1,2
3389,3390,8,20,1,2,5,20,5,10,15,10,1,5,7,20,1,2
342,343,8,30,3,2,5,20,5,2,20,10,1,2,20,20,5,5
3180,3181,3,10,3,2,12,20,3,2,20,25,5,2,15,30,3,5
663,664,3,30,5,5,12,20,3,5,20,15,1,5,20,10,1,5
4617,4618,15,10,1,2,12,15,5,2,20,25,5,2,15,10,1,5
5615,5616,3,10,5,10,12,20,1,5,20,25,1,10,20,10,1,2
326,327,15,20,1,5,5,20,5,5,20,25,3,2,20,10,1,2
3119,3120,15,20,3,2,5,10,5,10,20,25,3,2,15,10,1,5
4488,4489,8,20,3,5,8,10,3,5,20,15,1,5,20,10,1,5
563,564,3,20,1,2,12,10,3,5,20,15,5,10,15,20,3,5
5258,5259,3,30,5,5,5,15,5,5,15,15,1,2,7,30,3,10
7230,7231,15,20,3,2,5,15,1,5,7,10,3,10,20,20,5,5
181,182,15,30,3,5,12,15,5,5,15,25,3,10,15,30,3,2
1605,1606,3,20,5,2,8,15,5,2,7,10,1,5,20,30,5,10
7518,7519,3,20,1,5,12,20,5,2,20,25,1,2,7,20,5,10
5824,5825,15,20,5,2,5,10,3,2,7,15,1,2,7,20,3,5
1412,1413,15,10,5,10,12,15,5,10,20,10,5,10,20,20,1,5
6464,6465,15,20,5,10,8,15,3,5,15,15,5,2,20,30,3,10
7272,7273,3,30,1,2,12,15,5,10,7,10,3,5,20,30,1,10
2179,2180,15,10,3,2,8,10,1,2,7,10,1,10,20,30,5,2
5831,5832,15,10,5,5,12,20,3,5,20,15,1,5,7,30,3,2
2243,2244,3,20,3,10,8,20,5,10,15,25,1,2,7,20,3,5
2362,2363,3,30,1,2,5,10,3,2,15,10,1,5,7,30,3,2
7280,7281,15,10,5,5,5,10,3,10,20,10,1,10,20,30,1,2
827,828,3,20,3,10,5,20,5,10,15,15,3,5,20,10,5,5
7556,7557,15,30,1,5,8,15,1,2,15,25,5,2,20,20,1,2
6501,6502,8,20,5,5,12,10,3,10,20,10,1,10,20,30,1,5
1675,1676,8,20,3,10,8,20,3,10,7,25,3,5,20,10,3,10
757,758,8,10,5,5,8,20,1,10,15,25,3,2,15,20,5,2
1221,1222,3,20,1,10,8,20,5,5,7,10,1,10,15,20,5,10
6705,6706,3,10,1,10,12,15,3,5,20,10,5,5,7,30,5,2
7194,7195,15,10,3,10,5,10,1,10,20,15,5,10,7,20,1,2
6220,6221,3,30,3,10,8,20,1,2,20,10,5,10,7,20,5,10
4604,4605,15,30,5,10,8,15,5,5,7,15,5,10,15,10,1,10
7528,7529,8,30,3,10,5,10,3,10,7,15,3,5,7,10,5,5
6389,6390,3,30,5,2,5,20,1,10,15,25,5,5,20,30,3,10
5364,5365,15,10,1,10,5,20,5,2,15,25,1,10,15,20,1,5
5985,5986,8,10,3,2,8,20,1,10,15,25,1,2,7,10,3,5
3642,3643,8,20,3,5,12,20,3,10,15,25,1,10,20,20,5,2
1199,1200,8,20,5,10,8,20,3,10,20,10,5,5,15,10,3,10
4802,4803,8,30,3,10,5,20,1,2,20,25,5,10,20,30,1,5
2318,2319,8,30,3,10,5,20,1,10,15,10,1,10,20,10,1,5
726,727,15,20,1,10,5,20,3,10,20,25,1,10,15,10,5,5
4969,4970,15,20,5,10,12,10,1,10,20,15,5,2,15,30,3,2
1942,1943,8,20,5,2,5,10,1,2,15,25,1,10,15,20,1,2
2411,2412,8,10,1,2,12,15,3,5,7,10,5,2,15,30,5,10
7377,7378,3,20,3,5,5,20,3,10,15,15,3,2,15,20,1,10
3224,3225,3,10,1,2,8,10,5,2,15,25,3,2,15,20,3,2
7171,7172,15,10,5,10,5,10,3,5,20,25,1,5,20,30,1,2
7401,7402,15,30,1,10,12,10,3,5,20,25,3,5,7,30,5,10
4997,4998,8,20,1,2,12,20,1,10,7,10,5,10,7,20,1,2
5348,5349,15,20,5,5,5,10,1,10,20,10,3,10,15,30,5,5
677,678,3,20,3,10,8,15,5,2,20,25,3,10,7,20,5,5
4300,4301,3,10,3,5,8,15,3,2,7,10,5,5,15,30,5,2
913,914,3,20,5,5,8,15,3,2,20,10,3,10,15,10,5,2
5336,5337,15,20,5,10,5,20,1,10,7,25,5,2,15,30,3,5
4975,4976,15,10,1,10,5,20,3,10,20,15,1,5,20,10,5,10
6964,6965,15,20,5,5,8,10,1,2,20,25,1,5,15,10,5,10
338,339,3,10,1,2,5,20,1,5,15,10,5,2,7,20,1,10
3870,3871,8,10,3,5,5,15,1,10,7,15,1,2,15,20,1,5
2070,2071,8,20,5,2,8,20,1,2,20,15,3,10,20,20,5,10
7029,7030,3,20,5,10,8,20,1,2,20,15,5,2,20,10,1,10
7619,7620,15,30,1,2,5,20,3,10,7,25,3,5,15,30,5,5
998,999,8,20,1,10,8,20,1,5,7,15,5,5,15,20,5,5
85,86,3,30,5,10,5,20,3,2,20,15,5,5,15,10,5,2
7197,7198,8,10,1,10,5,10,3,2,20,15,5,10,20,10,3,10
911,912,3,30,3,5,12,20,5,2,20,25,5,2,20,30,1,2
4872,4873,8,10,5,10,8,10,5,10,15,15,1,5,7,10,3,2
6422,6423,3,30,1,5,5,15,3,10,7,15,1,10,15,30,1,5
6650,6651,15,10,1,10,5,15,3,5,7,25,5,10,15,10,1,2
3620,3621,15,30,3,2,12,20,3,10,7,15,3,10,7,30,3,10
2728,2729,15,10,3,5,5,15,3,5,7,15,5,2,7,20,5,5
4332,4333,3,30,3,2,5,10,5,10,15,15,5,5,15,30,3,2
4793,4794,3,20,1,5,12,15,5,2,7,15,3,2,15,30,1,2
1988,1989,8,10,1,5,8,20,1,2,7,15,3,10,15,20,5,5
5453,5454,3,30,3,2,5,10,1,2,15,10,3,10,7,30,3,5
6707,6708,3,10,3,10,8,20,3,10,20,25,1,10,20,20,1,10
6737,6738,15,20,3,2,8,15,5,10,7,10,3,2,15,30,5,2
4232,4233,15,30,5,2,8,15,1,10,15,10,5,5,7,20,5,10
167,168,15,20,3,2,12,20,5,10,20,10,1,2,7,10,3,2
7364,7365,3,30,1,5,5,10,1,10,20,10,1,10,15,10,1,10
4509,4510,8,30,3,2,5,15,1,2,7,10,3,2,15,20,5,2
7043,7044,8,10,1,2,8,20,1,10,15,10,1,2,20,10,1,2
4274,4275,3,20,1,2,5,10,3,10,7,25,3,5,7,10,5,2
6462,6463,8,10,5,10,8,10,1,10,7,25,5,5,7,30,1,5
7479,7480,8,30,1,5,5,20,5,2,7,15,1,5,7,30,3,5
305,306,8,10,5,5,8,15,3,2,7,10,5,2,15,30,3,2
5446,5447,15,10,1,5,5,20,1,2,20,25,1,5,7,20,5,10
4773,4774,8,10,5,5,8,20,1,5,7,25,1,2,7,10,1,2
3047,3048,15,30,1,5,5,15,3,5,7,25,3,10,15,10,1,5
7224,7225,3,20,5,2,5,10,3,10,20,15,1,10,7,30,1,10
5341,5342,3,30,1,10,5,15,3,5,20,10,1,2,15,10,5,5
700,701,15,20,1,2,12,15,3,2,7,25,3,10,15,10,1,10
5278,5279,8,20,1,5,8,20,1,2,7,25,3,5,15,20,1,10
969,970,3,10,3,10,12,15,5,2,7,25,5,5,20,20,3,5
6552,6553,15,10,1,5,5,10,1,2,7,25,3,5,20,20,5,2
5871,5872,15,30,5,2,5,10,1,2,7,25,5,5,7,10,1,5
3189,3190,3,30,5,2,8,20,3,2,7,15,3,10,20,10,1,2
2342,2343,3,10,3,5,12,15,5,5,7,25,3,10,15,10,5,5
1682,1683,3,10,3,10,8,10,3,5,7,15,3,2,7,30,3,10
2947,2948,3,30,3,10,8,20,5,2,7,25,1,10,20,20,1,2
1015,1016,15,30,3,5,5,20,1,5,20,10,1,2,20,30,3,2
7531,7532,15,30,1,10,12,15,1,10,7,15,5,5,7,10,1,2
3959,3960,8,10,3,10,8,10,3,5,15,25,3,5,15,30,5,5
422,423,15,30,3,5,5,10,3,10,20,25,1,10,7,10,1,10
3691,3692,15,10,1,2,5,10,1,5,15,25,5,2,7,30,3,2
4089,4090,15,20,1,5,8,15,3,2,20,25,5,10,7,10,3,10
7660,7661,3,10,5,10,12,15,3,10,20,10,3,5,7,30,3,2
7336,7337,3,20,1,5,8,15,1,10,20,25,5,5,15,10,1,5
2108,2109,15,20,3,5,8,15,5,2,15,10,1,2,20,10,3,10
1920,1921,3,10,5,2,8,20,3,10,7,15,5,2,15,20,1,5
6532,6533,8,30,5,2,8,20,3,10,15,15,5,5,15,20,5,2
3380,3381,15,30,3,2,12,20,1,2,20,10,3,10,7,10,3,2
2628,2629,15,20,1,5,5,10,3,2,7,15,3,5,20,20,5,10
3965,3966,8,10,5,5,8,15,1,5,20,15,3,10,20,20,5,10
2103,2104,15,10,5,5,8,10,1,10,20,25,1,10,7,30,5,10
1475,1476,3,10,3,10,8,15,1,2,15,25,3,10,15,30,5,5
2945,2946,3,10,1,10,8,10,5,10,7,15,3,5,20,30,3,2
6768,6769,15,20,1,5,8,20,1,2,20,25,5,5,7,10,5,2
3781,3782,3,10,1,5,8,10,1,10,20,10,5,10,20,20,3,5
2422,2423,15,20,1,10,12,15,5,2,15,15,3,10,20,20,1,10
