GROUP_EXPERIMENT,AB_GROUP,participant,PROLIFIC_PID,SOURCE_FILE,Trial,trial_rank,n_trials_participant,Choice,TrialDuration,Bus_cost,metro_cost,RH_cost,Bus_travel_time,Bus_Comfort,Bus_CO2,metro_travel_time,metro_Comfort,metro_CO2,RH_travel_time,RH_Comfort,RH_CO2,trial_101_200,NorTrial_pre,NorTrial_101_200,NorTrial_10
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,22,22,300,2,3.383,15,8,15,20,1,10,10,5,5,15,3,5,0,0.21212121212121213,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,23,23,300,1,3.3666,3,12,15,10,3,2,10,1,10,15,1,2,0,0.2222222222222222,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,24,24,300,3,4.002,15,8,7,20,5,2,20,1,5,10,3,10,0,0.23232323232323232,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,25,25,300,2,5.8,15,8,15,20,1,10,15,5,5,15,1,2,0,0.24242424242424243,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,26,26,300,2,7.7684,8,8,15,10,3,5,10,3,2,25,1,2,0,0.25252525252525254,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,27,27,300,1,8.9517,3,12,20,30,5,10,20,1,5,15,5,10,0,0.26262626262626265,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,28,28,300,2,4.1355,15,12,20,10,3,2,10,5,5,10,5,2,0,0.2727272727272727,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,29,29,300,2,5.4521,8,8,7,20,1,2,20,3,2,25,1,5,0,0.2828282828282828,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,30,30,300,2,3.885,15,5,7,30,3,10,15,1,2,15,3,5,0,0.29292929292929293,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,31,31,300,1,4.2367,3,12,15,30,1,5,15,1,5,10,1,5,0,0.30303030303030304,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,32,32,300,2,8.7141,3,12,20,30,1,10,10,1,10,10,5,10,0,0.31313131313131315,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,33,33,300,1,6.3186,3,5,20,20,5,2,20,5,5,25,3,10,0,0.32323232323232326,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,34,34,300,1,6.0701,8,12,7,10,5,5,10,1,5,15,5,2,0,0.3333333333333333,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,35,35,300,2,8.3516,3,8,20,20,1,5,10,3,10,10,1,10,0,0.3434343434343434,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,36,36,300,2,5.7663,15,8,20,30,5,10,15,3,5,15,3,5,0,0.35353535353535354,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,37,37,300,2,3.3686,15,8,15,20,1,5,15,5,5,10,5,5,0,0.36363636363636365,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,38,38,300,3,6.2519,15,12,7,10,1,2,10,3,10,10,5,2,0,0.37373737373737376,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,39,39,300,2,4.2,15,8,20,20,3,5,15,5,5,25,3,10,0,0.3838383838383838,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,40,40,300,1,2.9017,8,12,15,10,5,2,20,3,2,10,1,10,0,0.3939393939393939,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,41,41,300,1,11.319,3,12,7,30,3,5,20,3,5,15,5,10,0,0.40404040404040403,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,42,42,300,3,5.8499,8,8,7,20,3,5,20,5,2,10,5,10,0,0.41414141414141414,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,43,43,300,2,7.0517,15,8,15,10,1,10,15,1,10,10,5,10,0,0.42424242424242425,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,44,44,300,1,5.0516,8,8,15,20,3,2,20,3,5,15,5,2,0,0.43434343434343436,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,45,45,300,2,13.8185,3,5,15,10,3,10,10,5,2,25,1,2,0,0.4444444444444444,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,46,46,300,2,5.5685,15,8,7,30,3,5,15,5,10,15,3,5,0,0.45454545454545453,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,47,47,300,2,4.0184,15,8,7,10,1,10,10,1,2,15,5,10,0,0.46464646464646464,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,48,48,300,2,3.4336,15,12,20,30,1,10,20,1,5,25,3,5,0,0.47474747474747475,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,49,49,300,2,3.1167,3,5,7,30,3,5,15,5,2,25,3,10,0,0.48484848484848486,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,50,50,300,2,3.1831,8,8,15,20,3,10,10,1,10,15,1,2,0,0.494949494949495,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,51,51,300,1,3.9185,3,12,20,20,3,10,10,5,5,10,3,2,0,0.5050505050505051,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,52,52,300,1,4.3498,3,8,20,20,3,5,20,5,2,25,3,10,0,0.5151515151515151,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,53,53,300,2,4.4519,15,5,20,10,5,10,10,5,2,25,3,10,0,0.5252525252525253,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,54,54,300,1,3.2025,8,12,15,10,1,10,15,1,10,15,5,10,0,0.5353535353535354,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,55,55,300,2,3.8336,8,5,15,20,3,2,10,5,5,25,5,2,0,0.5454545454545454,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,56,56,300,2,3.4011,15,8,15,30,5,5,20,5,2,15,5,10,0,0.5555555555555556,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,57,57,300,1,5.3851,8,12,20,10,5,2,15,1,2,15,5,10,0,0.5656565656565656,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,58,58,300,2,10.7518,15,8,7,20,1,5,15,1,2,10,1,5,0,0.5757575757575758,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,59,59,300,2,3.7498,15,5,20,20,5,10,20,3,10,15,1,10,0,0.5858585858585859,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,60,60,300,3,12.3335,8,12,7,30,5,5,10,1,2,10,1,2,0,0.5959595959595959,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,61,61,300,2,4.6335,8,5,15,10,5,5,10,5,10,25,3,10,0,0.6060606060606061,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,62,62,300,1,3.9352,3,12,20,10,1,5,10,1,10,10,5,10,0,0.6161616161616161,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,63,63,300,1,2.0681,3,12,15,20,3,2,20,1,10,15,3,2,0,0.6262626262626263,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,64,64,300,1,2.4977,3,12,20,10,5,2,15,3,10,25,3,10,0,0.6363636363636364,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,65,65,300,2,2.8498,8,8,20,30,3,10,20,1,5,10,5,5,0,0.6464646464646465,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,66,66,300,1,8.2655,3,12,7,20,3,5,10,3,5,25,1,2,0,0.6565656565656566,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,67,67,300,3,6.7018,15,12,7,10,3,10,20,1,5,10,3,5,0,0.6666666666666666,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,68,68,300,1,4.685,8,12,20,10,3,5,15,5,2,15,3,10,0,0.6767676767676768,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,69,69,300,2,3.5999,15,12,15,10,3,10,10,1,2,25,5,5,0,0.6868686868686869,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,70,70,300,1,8.702,15,12,15,10,3,5,20,3,5,25,5,2,0,0.696969696969697,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,71,71,300,2,8.2996,8,12,20,30,1,2,15,1,5,10,5,5,0,0.7070707070707071,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,72,72,300,2,7.1167,8,5,7,20,1,2,20,1,2,25,3,5,0,0.7171717171717171,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,73,73,300,2,4.3686,15,8,20,10,3,2,10,1,2,15,1,10,0,0.7272727272727273,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,74,74,300,2,3.2832,3,5,7,30,5,5,15,5,5,15,5,2,0,0.7373737373737373,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,75,75,300,2,3.9521,15,8,15,20,5,10,15,1,5,15,1,2,0,0.7474747474747475,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,76,76,300,2,6.1666,15,5,15,30,5,2,20,1,10,15,5,5,0,0.7575757575757576,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,77,77,300,2,10.75,3,8,7,30,1,10,20,5,10,10,1,2,0,0.7676767676767676,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,78,78,300,2,6.3522,15,8,7,10,1,5,10,3,5,10,5,10,0,0.7777777777777778,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,79,79,300,1,5.248,8,8,20,10,5,2,20,3,5,15,3,2,0,0.7878787878787878,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,80,80,300,3,12.0351,15,8,7,20,3,10,20,3,5,10,1,5,0,0.797979797979798,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,81,81,300,2,5.4366,3,8,15,30,5,5,10,3,10,25,1,5,0,0.8080808080808081,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,82,82,300,2,8.1167,3,5,15,20,3,10,15,1,5,10,3,5,0,0.8181818181818182,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,83,83,300,2,9.4866,8,12,20,30,1,5,20,3,5,25,1,5,0,0.8282828282828283,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,84,84,300,1,3.6844,8,8,15,10,3,10,20,1,5,15,5,5,0,0.8383838383838383,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,85,85,300,2,2.8835,8,12,7,30,3,2,15,3,5,10,1,5,0,0.8484848484848485,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,86,86,300,2,6.602,15,5,7,10,1,2,10,5,10,10,5,2,0,0.8585858585858586,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,87,87,300,2,4.0164,15,12,20,10,1,5,10,1,10,25,5,5,0,0.8686868686868687,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,88,88,300,2,2.9834,15,5,7,30,3,5,20,5,2,25,1,2,0,0.8787878787878788,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,89,89,300,2,4.2349,3,8,7,20,3,5,10,1,10,15,1,10,0,0.8888888888888888,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,90,90,300,2,4.635,8,12,20,30,3,10,10,5,2,25,1,5,0,0.898989898989899,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,91,91,300,2,8.3014,15,8,20,10,3,10,10,3,5,10,3,5,0,0.9090909090909091,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,92,92,300,2,3.7353,3,5,7,20,3,2,10,5,2,25,5,2,0,0.9191919191919192,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,93,93,300,1,12.4686,3,5,20,20,3,2,20,5,5,10,1,10,0,0.9292929292929293,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,94,94,300,2,3.9518,15,5,20,20,3,5,20,3,10,25,3,5,0,0.9393939393939394,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,95,95,300,1,4.0518,8,8,20,10,3,2,20,1,2,25,3,5,0,0.9494949494949495,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,96,96,300,2,5.9184,8,5,15,30,1,5,15,3,5,10,3,5,0,0.9595959595959596,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,97,97,300,2,17.0834,8,8,15,30,5,2,20,3,5,25,1,10,0,0.9696969696969697,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,98,98,300,2,10.5018,15,5,7,20,3,5,20,1,10,15,5,10,0,0.9797979797979798,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,99,99,300,3,9.0497,8,5,7,30,1,2,20,3,2,10,5,2,0,0.98989898989899,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,100,100,300,2,5.5195,8,5,15,10,1,10,10,3,10,15,1,10,0,1,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,101,101,300,2,11.9057,15,8,15,10,3,2,20,1,10,25,1,10,1,0,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,102,102,300,1,5.354,8,12,20,10,3,2,10,3,10,15,1,10,1,0,0.010101010101010102,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,103,103,300,2,2.7389,15,12,15,20,1,5,10,3,2,15,3,10,1,0,0.020202020202020204,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,104,104,300,2,3.9668,3,5,15,20,1,10,10,3,2,10,5,10,1,0,0.030303030303030304,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,105,105,300,1,2.8833,3,8,20,20,5,10,20,1,10,25,5,5,1,0,0.04040404040404041,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,106,106,300,1,3.5614,3,8,7,10,5,5,20,3,5,25,3,2,1,0,0.050505050505050504,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,107,107,300,1,8.1862,3,5,15,20,3,5,15,3,5,10,1,2,1,0,0.06060606060606061,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,108,108,300,2,3.969,8,5,7,30,1,5,10,1,5,10,1,2,1,0,0.0707070707070707,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,109,109,300,2,4.1644,15,8,15,10,1,2,15,3,10,25,3,2,1,0,0.08080808080808081,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,110,110,300,2,2.8014,8,5,15,30,3,5,15,3,2,15,5,10,1,0,0.09090909090909091,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,111,111,300,2,3.4643,3,5,15,30,1,2,15,3,10,10,3,10,1,0,0.10101010101010101,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,112,112,300,1,5.2195,3,5,20,10,3,2,20,1,2,15,1,2,1,0,0.1111111111111111,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,113,113,300,2,3.4524,8,5,20,30,1,2,15,5,2,15,3,10,1,0,0.12121212121212122,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,114,114,300,2,3.3855,15,5,7,20,1,10,15,1,10,25,1,5,1,0,0.13131313131313133,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,115,115,300,1,3.0164,3,12,15,10,3,5,15,5,10,15,5,10,1,0,0.1414141414141414,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,116,116,300,2,13.6023,3,12,20,30,3,5,10,3,2,25,3,5,1,0,0.15151515151515152,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,117,117,300,2,9.7689,8,5,20,10,1,5,10,1,10,25,3,5,1,0,0.16161616161616163,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,118,118,300,1,6.0794,8,12,15,10,3,10,10,5,10,10,5,5,1,0,0.1717171717171717,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,119,119,300,1,2.5535,3,12,15,10,3,5,15,1,5,10,3,10,1,0,0.18181818181818182,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,120,120,300,1,8.2346,3,5,7,30,5,5,20,3,5,25,1,10,1,0,0.1919191919191919,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,121,121,300,3,6.9854,15,8,7,20,1,10,20,5,5,15,5,10,1,0,0.20202020202020202,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,122,122,300,2,6.7391,8,8,15,20,3,10,15,5,10,25,5,10,1,0,0.21212121212121213,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,123,123,300,1,9.7023,8,12,7,10,5,2,20,1,5,15,1,2,1,0,0.2222222222222222,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,124,124,300,2,6.2641,15,8,7,30,5,10,20,5,2,15,3,2,1,0,0.23232323232323232,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,125,125,300,1,4.5863,3,12,20,20,1,2,20,5,5,25,5,10,1,0,0.24242424242424243,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,126,126,300,3,9.5854,8,8,7,20,1,2,15,3,2,10,5,5,1,0,0.25252525252525254,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,127,127,300,2,7.033,8,12,15,20,1,2,10,3,5,15,3,2,1,0,0.26262626262626265,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,128,128,300,1,5.7528,3,8,20,10,5,2,15,5,10,25,1,10,1,0,0.2727272727272727,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,129,129,300,1,3.485,8,12,15,10,5,5,20,5,2,10,3,10,1,0,0.2828282828282828,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,130,130,300,2,7.7684,3,5,20,20,5,10,10,1,5,10,3,10,1,0,0.29292929292929293,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,131,131,300,3,7.7718,15,12,15,30,1,10,20,1,10,10,5,2,1,0,0.30303030303030304,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,132,132,300,2,3.7497,8,5,15,10,5,5,10,5,2,25,1,5,1,0,0.31313131313131315,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,133,133,300,2,12.453,15,12,7,10,1,5,20,1,5,25,3,2,1,0,0.32323232323232326,0
